date,open,close
2013-07-29,2.63,2.635
2013-07-30,2.635,2.646
2013-07-31,2.64,2.657
2013-08-01,2.65,2.644
2013-08-02,2.625,2.577
2013-08-05,2.619,2.628
2013-08-06,2.618,2.591
2013-08-07,2.569,2.574
2013-08-08,2.58,2.587
2013-08-09,2.622,2.616
2013-08-12,2.651,2.659
2013-08-13,2.664,2.675
2013-08-14,2.647,2.641
2013-08-15,2.68,2.675
2013-08-16,2.704,2.719
2013-08-19,2.735,2.738
2013-08-20,2.726,2.709
2013-08-21,2.725,2.724
2013-08-22,2.72,2.712
2013-08-23,2.73,2.736
2013-08-26,2.765,2.777
2013-08-27,2.779,2.778
2013-08-28,2.814,2.83
2013-08-29,2.815,2.797
2013-08-30,2.78,2.79
2013-09-02,2.775,2.771
2013-09-03,2.77,2.762
2013-09-04,2.795,2.79
2013-09-05,2.774,2.754
2013-09-06,2.732,2.729
2013-09-09,2.757,2.759
2013-09-10,2.758,2.742
2013-09-11,2.708,2.725
2013-09-12,2.74,2.687
2013-09-13,2.657,2.622
2013-09-16,2.64,2.634
2013-09-17,2.62,2.613
2013-09-18,2.588,2.59
2013-09-23,2.61,2.631
2013-09-24,2.629,2.623
2013-09-25,2.621,2.63
2013-09-26,2.649,2.635
2013-09-27,2.625,2.622
2013-09-30,2.66,2.65
2013-10-08,2.614,2.631
2013-10-09,2.624,2.616
2013-10-10,2.6,2.599
2013-10-11,2.586,2.572
2013-10-14,2.555,2.554
2013-10-15,2.542,2.54
2013-10-16,2.546,2.556
2013-10-17,2.554,2.531
2013-10-18,2.596,2.612
2013-10-21,2.65,2.613
2013-10-22,2.588,2.596
2013-10-23,2.625,2.626
2013-10-24,2.62,2.625
2013-10-25,2.633,2.634
2013-10-28,2.634,2.635
2013-10-29,2.64,2.634
2013-10-30,2.625,2.63
2013-10-31,2.629,2.616
2013-11-01,2.595,2.604
2013-11-04,2.6,2.595
2013-11-05,2.611,2.594
2013-11-06,2.582,2.592
2013-11-07,2.593,2.595
2013-11-08,2.575,2.581
2013-11-11,2.538,2.545
2013-11-12,2.535,2.536
2013-11-13,2.525,2.526
2013-11-14,2.526,2.531
2013-11-15,2.537,2.539
2013-11-18,2.539,2.541
2013-11-19,2.531,2.524
2013-11-20,2.519,2.53
2013-11-21,2.499,2.485
2013-11-22,2.48,2.469
2013-11-25,2.46,2.458
2013-11-26,2.459,2.477
2013-11-27,2.47,2.461
