date,open,close
2010-09-09,51.25,50.66
2010-09-10,50.84,50.89
2010-09-13,51.48,51.53
2010-09-14,51.42,51.519
2010-09-15,51.31,51.65
2010-09-16,51.51,51.63
2010-09-17,51.94,51.68
2010-09-20,51.87,52.52
2010-09-21,52.51,52.36
2010-09-22,52.28,52.08
2010-09-23,51.66,51.653
2010-09-24,51.97,52.42
2010-09-27,52.49,52.17
2010-09-28,52.159,52.51
2010-09-29,52.29,52.26
2010-09-30,52.6,52.18
2010-10-01,52.54,52.36
2010-10-04,52.63,51.92
2010-10-05,52.51,53.058
2010-10-06,106.12,105.82
2010-10-07,53.25,52.94
2010-10-08,53.01,53.34
2010-10-11,53.36,53.25
2010-10-12,53.19,53.56
2010-10-13,53.79,53.88
2010-10-14,53.85,53.68
2010-10-15,54.02,53.78
2010-10-18,53.81,54.17
2010-10-19,53.57,53.31
2010-10-20,53.47,53.88
2010-10-21,54.13,53.96
2010-10-22,54.08,54.09
2010-10-25,54.51,54.25
2010-10-26,53.96,54.24
2010-10-27,53.87,54.07
2010-10-28,54.38,54.11
2010-10-29,54.05,54.15
2010-11-01,54.46,54.18
2010-11-02,54.61,54.6
2010-11-03,54.71,54.83
2010-11-04,55.45,55.86
2010-11-05,55.95,56.08
2010-11-08,55.94,56.01
2010-11-09,56.09,55.57
2010-11-10,55.58,55.78
2010-11-11,55.34,55.6
2010-11-12,55.2,54.91
2010-11-15,55.15,54.86
2010-11-16,54.51,53.98
2010-11-17,54.03,54.02
2010-11-18,54.54,54.82
2010-11-19,54.75,54.95
2010-11-22,54.71,54.9
2010-11-23,54.28,54.13
2010-11-24,54.47,54.83
2010-11-26,54.48,54.52
2010-11-29,54.18,54.467
2010-11-30,53.98,54.09
2010-12-01,54.96,55.31
2010-12-02,55.37,56.03
2010-12-03,55.83,56.17
2010-12-06,56.08,56.1
2010-12-07,56.67,56.12
2010-12-08,56.2,56.35
2010-12-09,56.67,56.56
2010-12-10,56.74,56.9
2010-12-13,57.16,56.93
2010-12-14,57.06,56.96
2010-12-15,56.87,56.71
2010-12-16,56.78,57.04
2010-12-17,57.0,57.12
2010-12-20,57.29,57.24
2010-12-21,57.43,57.59
2010-12-22,57.67,57.8
2010-12-23,57.72,57.71
2010-12-27,57.23,57.49
2010-12-28,57.61,57.55
2010-12-29,57.66,57.6
2010-12-30,57.56,57.51
2010-12-31,57.43,57.57
2011-01-03,57.97,58.11
2011-01-04,58.28,58.06
2011-01-05,57.93,58.37
2011-01-06,58.42,58.27
2011-01-07,58.35,58.153
2011-01-10,57.94,58.1
2011-01-11,58.33,58.29
2011-01-12,58.66,58.81
2011-01-13,58.84,58.73
2011-01-14,58.65,59.15
2011-01-18,59.13,59.25
2011-01-19,59.22,58.66
2011-01-20,58.54,58.588
2011-01-21,58.95,58.72
2011-01-24,58.7,59.08
2011-01-25,58.9,59.06
2011-01-26,59.22,59.37
2011-01-27,59.34,59.45
2011-01-28,59.54,58.402
2011-01-31,58.61,58.85
2011-02-01,59.24,59.77
2011-02-02,59.62,59.67
2011-02-03,59.6,59.82
2011-02-04,59.85,59.98
2011-02-07,60.15,60.359
2011-02-08,60.44,60.64
2011-02-09,60.49,60.49
2011-02-10,60.2,60.51
2011-02-11,60.3,60.89
2011-02-14,60.86,61.04
2011-02-15,60.86,60.824
2011-02-16,61.05,61.21
2011-02-17,61.03,61.44
2011-02-18,61.48,61.54
2011-02-22,60.84,60.28
2011-02-23,60.25,59.94
2011-02-24,59.83,59.88
2011-02-25,60.17,60.53
2011-02-28,60.77,60.89
2011-03-01,61.14,59.85
2011-03-02,59.81,60.02
2011-03-03,60.54,61.05
2011-03-04,61.03,60.6
2011-03-07,60.8,60.07
2011-03-08,60.21,60.63
2011-03-09,60.53,60.56
2011-03-10,59.94,59.45
2011-03-11,59.2,59.85
2011-03-14,59.48,59.5
2011-03-15,57.91,58.839
2011-03-16,58.63,57.72
